game_id,home_team_id,away_team_id,H0oA1,won(T1F0),settled_in1100,goals,sh1s,hits,pim,powerPlayOpportunities,powerPlayGoals,faceOffWinPercentage,give1s,take1s,winPctTrain,ptPct,goalRating,scoreFirst,leadFirst,outShoot,teamSeasonScore,gameScore,,,,Avg,Max,Min
2015020020,4,13,1,0,0,1,39,38,23,4,1,48.6,1,5,0.585365854,63.4,0.512,0.5644,0.9636,0.9636,1.531241464,1.666,,,,,,
2015020020,13,4,0,1,0,7,30,31,17,7,3,51.4,2,4,0.682926829,73.2,0.695,0.658,0.9664,0.9664,1.724181707,2.124714286,,,,,,
2015020021,29,3,1,0,0,2,39,32,6,5,1,42.4,10,4,0.4146,46.3,-0.426,0.4046,0.7796,0.414,0.8597,1.394,,,,,,
2015020021,3,29,0,1,0,5,29,32,12,2,1,57.6,8,8,0.5,58.5,0.012,0.4816,0.8478,0.8478,1.2573,2.406,,,,,,
2015020022,1,15,1,0,0,3,25,32,12,3,1,44.1,4,4,0.548780488,61,0.195,0.5168,0.8658,0.8658,1.358045122,1.731,,,,,,
2015020022,15,1,0,1,0,5,27,23,8,5,2,55.9,3,5,0.5,56.7,-0.122,0.4228,0.75,0.75,1.1422,2.104,,,,,,
2015020023,12,17,0,0,0,3,47,19,4,6,1,50,4,12,0.56097561,59.1,0.317,0.4914,0.8694,0.8694,1.368043903,1.685,,,,,,
2015020023,17,12,1,1,0,4,19,37,16,1,0,50,5,7,0.597560976,65.2,0.269,0.559,0.8144,0.8144,1.415590244,0.755,,,,,,
2015020024,18,22,0,1,0,2,26,27,10,2,0,47.9,9,6,0.426829268,47,-0.341,0.368,0.7802,0.7802,0.973557317,0.714,,,,,,
2015020024,22,18,1,0,0,0,31,13,4,5,0,52.1,8,6,0.56097561,62.8,0.329,0.499,0.793,0.793,1.371743903,0.816,,,,,,
2015020025,19,30,1,0,0,2,32,19,10,3,1,47.2,2,5,0.475609756,50,-0.342,0.4352,0.7444,0.7444,1.014402439,1.847,,,,,,
2015020025,30,19,0,1,0,3,19,14,10,3,1,52.8,7,10,0.46341,53,0.11,0.25548,0.823,0.468,1.0599725,1.748,,,,,,
2015020026,2,16,1,0,0,1,29,55,24,2,0,50,15,9,0.56097561,61.6,0.219,0.5066,0.8474,0.8474,1.361343903,0.705,,,,,,
2015020026,16,2,0,1,0,4,34,32,4,7,1,50,13,6,0.5,58.5,0.134,0.452,0.7822,0.7822,1.2476,1.248571429,,,,,,
2015020027,21,25,0,1,0,6,28,17,15,4,2,50,7,3,0.37804878,45.7,-0.647,0.3752,0.5964,0.5964,0.781762195,2.135,,,,,,
2015020027,25,21,1,0,0,3,33,6,15,4,1,50,10,4,0.56097561,59.8,0.366,0.4948,0.9046,0.9046,1.405743903,1.34,,,,,,
2015020028,23,20,0,0,1,2,30,15,8,4,1,49.3,13,4,0.609756098,66.5,0.452,0.5802,0.897,0.897,1.523989025,1.358,,,,,,
2015020028,20,23,1,1,1,3,38,23,12,2,1,50.7,7,3,0.37804878,42.7,-0.524,0.3556,0.8234,0.8234,0.891112195,2.302,,,,,,
2015020029,5,53,1,0,0,1,28,22,12,4,0,44.6,5,5,0.512195122,56.7,0.098,0.444,0.8172,0.8172,1.239148781,0.716,,,,,,
2015020029,53,5,0,1,0,2,39,25,14,4,0,55.4,2,4,0.42682,47.6,-0.439,0.62304,0.61392,0.3612,0.872495,0.969,,,,,,
2015020030,28,24,0,1,0,2,44,31,2,1,0,44.8,12,15,0.426829268,47.6,-0.293,0.4178,0.8142,0.8142,1.021007317,1.083,,,,,,
2015020030,24,28,1,0,0,0,27,22,2,1,0,55.2,12,2,0.585365854,62.2,0.379,0.5572,0.786,0.786,1.395391464,0.712,,,,,,
2015020031,8,9,1,1,0,3,34,19,12,7,0,40,12,13,0.463414634,51.8,-0.134,0.4746,0.804,0.804,1.121003659,0.735,,,,,,
2015020031,9,8,0,0,0,1,21,32,18,4,0,60,13,10,0.353658537,42.1,-0.586,0.3652,0.6954,0.6954,0.801914634,0.73,,,,,,
2015020032,14,6,1,1,0,6,23,9,8,4,2,49.2,7,8,0.573170732,62.8,0.33,0.4338,0.8912,0.8912,1.407842683,2.207,,,,,,
2015020032,6,14,0,0,0,3,30,34,8,4,3,50.8,5,16,0.426829268,49.4,-0.195,0.4188,0.7674,0.7674,1.040357317,3.368,,,,,,
2015020033,52,2,1,0,0,2,24,42,16,3,1,38.8,7,11,0.42682,47.6,-0.293,0.31716,0.70092,0.32556,0.845365,1.758,,,,,,
2015020033,2,52,0,1,0,4,44,30,10,6,2,61.2,9,18,0.56097561,61.6,0.219,0.5066,0.8474,0.8474,1.361343903,2.282,,,,,,
2015020034,7,29,0,1,0,4,33,12,11,7,3,49.1,14,4,0.463414634,50,-0.207,0.4384,0.8244,0.8244,1.085903659,1.856714286,,,,,,
2015020034,29,7,1,0,0,2,24,17,19,3,2,50.9,5,2,0.4146,46.3,-0.426,0.4046,0.7796,0.414,0.8597,2.584,,,,,,
2015020035,4,13,0,1,0,1,33,31,18,3,0,50,14,7,0.585365854,63.4,0.512,0.5644,0.9636,0.9636,1.531241464,0.665,,,,,,
2015020035,13,4,1,0,0,0,31,22,12,6,0,50,3,3,0.682926829,73.2,0.695,0.658,0.9664,0.9664,1.724181707,0.8,,,,,,
2015020036,24,23,0,0,0,1,29,26,9,2,0,46.3,12,7,0.585365854,62.2,0.379,0.5572,0.786,0.786,1.395391464,0.693,,,,,,
2015020036,23,24,1,1,0,1,25,29,9,2,0,53.7,12,3,0.609756098,66.5,0.452,0.5802,0.897,0.897,1.523989025,0.662,,,,,,
2015020037,1,18,0,0,0,1,23,13,4,2,1,48.5,9,3,0.548780488,61,0.195,0.5168,0.8658,0.8658,1.358045122,2.12,,,,,,
2015020037,18,1,1,1,0,3,20,12,4,2,1,51.5,9,4,0.426829268,47,-0.341,0.368,0.7802,0.7802,0.973557317,2.135,,,,,,
2015020038,52,3,1,1,0,4,29,22,12,5,2,39.3,7,6,0.42682,47.6,-0.293,0.31716,0.70092,0.32556,0.845365,1.853,,,,,,
2015020038,3,52,0,0,0,1,41,25,12,5,0,60.7,15,14,0.5,58.5,0.012,0.4816,0.8478,0.8478,1.2573,1.002,,,,,,
2015020039,8,5,1,1,0,3,30,21,4,2,1,44.2,4,5,0.463414634,51.8,-0.134,0.4746,0.804,0.804,1.121003659,2.327,,,,,,
2015020039,5,8,0,0,0,2,33,32,4,2,0,55.8,11,5,0.512195122,56.7,0.098,0.444,0.8172,0.8172,1.239148781,0.888,,,,,,
2015020040,15,28,0,0,0,0,31,22,10,4,0,46.4,17,4,0.5,56.7,-0.122,0.4228,0.75,0.75,1.1422,0.524,,,,,,
2015020040,28,15,1,1,0,5,32,11,8,5,1,53.6,8,4,0.426829268,47.6,-0.293,0.4178,0.8142,0.8142,1.021007317,1.351,,,,,,
2015020041,12,13,0,0,0,1,23,16,6,4,0,44.2,18,10,0.56097561,59.1,0.317,0.4914,0.8694,0.8694,1.368043903,0.532,,,,,,
2015020041,13,12,1,1,0,4,30,23,8,3,0,55.8,6,11,0.682926829,73.2,0.695,0.658,0.9664,0.9664,1.724181707,0.993,,,,,,
2015020042,17,14,0,1,0,3,24,26,6,3,1,45.6,6,9,0.597560976,65.2,0.269,0.559,0.8144,0.8144,1.415590244,1.826,,,,,,
2015020042,14,17,1,0,0,1,21,11,6,3,0,54.4,4,4,0.573170732,62.8,0.33,0.4338,0.8912,0.8912,1.407842683,0.749,,,,,,
2015020043,22,25,1,0,0,2,28,20,10,1,0,37.7,14,14,0.56097561,62.8,0.329,0.499,0.793,0.793,1.371743903,0.657,,,,,,
2015020043,25,22,0,1,0,4,52,16,4,4,0,62.3,24,8,0.56097561,59.8,0.366,0.4948,0.9046,0.9046,1.405743903,0.863,,,,,,
2015020044,20,19,0,0,0,3,18,14,2,4,1,35.7,11,5,0.37804878,42.7,-0.524,0.3556,0.8234,0.8234,0.891112195,1.217,,,,,,
2015020044,19,20,1,1,0,4,28,18,8,1,1,64.3,11,1,0.475609756,50,-0.342,0.4352,0.7444,0.7444,1.014402439,3.733,,,,,,
2015020045,23,26,1,1,0,3,26,22,11,4,0,49.1,7,5,0.609756098,66.5,0.452,0.5802,0.897,0.897,1.523989025,0.711,,,,,,
